id,CD_colonia,Colonia,CVE_MUN,Del
1,CUA,Cuauhtémoc,15,Cuauhtémoc
2,CUA,Cuauhtémoc,15,Cuauhtémoc
3,1,Ampliación Granada,15,Cuauhtémoc
4,CUA,Cuauhtémoc,15,Cuauhtémoc
5,CUA,Cuauhtémoc,15,Cuauhtémoc
6,CUA,Cuauhtémoc,15,Cuauhtémoc
7,CUA,Cuauhtémoc,15,Cuauhtémoc
8,TAB,Tabacalera,15,Cuauhtémoc
9,CUA,Cuauhtémoc,15,Cuauhtémoc
10,TAB,Tabacalera,15,Cuauhtémoc
11,CUA,Cuauhtémoc,15,Cuauhtémoc
12,1,Ampliación Granada,15,Cuauhtémoc
13,1,Ampliación Granada,15,Cuauhtémoc
14,CUA,Cuauhtémoc,15,Cuauhtémoc
15,CUA,Cuauhtémoc,15,Cuauhtémoc
16,1,Ampliación Granada,15,Cuauhtémoc
17,1,Ampliación Granada,15,Cuauhtémoc
18,CUA,Cuauhtémoc,15,Cuauhtémoc
19,1,Ampliación Granada,15,Cuauhtémoc
20,CUA,Cuauhtémoc,15,Cuauhtémoc
21,1,Ampliación Granada,15,Cuauhtémoc
22,JUA,Juárez,15,Cuauhtémoc
23,JUA,Juárez,15,Cuauhtémoc
24,JUA,Juárez,15,Cuauhtémoc
25,JUA,Juárez,15,Cuauhtémoc
26,JUA,Juárez,15,Cuauhtémoc
27,JUA,Juárez,15,Cuauhtémoc
28,JUA,Juárez,15,Cuauhtémoc
29,CEN,Centro,15,Cuauhtémoc
30,JUA,Juárez,15,Cuauhtémoc
31,JUA,Juárez,15,Cuauhtémoc
32,JUA,Juárez,15,Cuauhtémoc
33,JUA,Juárez,15,Cuauhtémoc
34,JUA,Juárez,15,Cuauhtémoc
35,JUA,Juárez,15,Cuauhtémoc
36,1,Ampliación Granada,15,Cuauhtémoc
37,R-N,Roma Norte,15,Cuauhtémoc
38,R-N,Roma Norte,15,Cuauhtémoc
39,R-N,Roma Norte,15,Cuauhtémoc
40,R-N,Roma Norte,15,Cuauhtémoc
41,1,Ampliación Granada,15,Cuauhtémoc
42,R-N,Roma Norte,15,Cuauhtémoc
43,CEN,Centro,15,Cuauhtémoc
44,R-N,Roma Norte,15,Cuauhtémoc
45,R-N,Roma Norte,15,Cuauhtémoc
46,R-N,Roma Norte,15,Cuauhtémoc
47,1,Ampliación Granada,15,Cuauhtémoc
48,CEN,Centro,15,Cuauhtémoc
49,CON,Condesa,15,Cuauhtémoc
50,CON,Condesa,15,Cuauhtémoc
51,R-N,Roma Norte,15,Cuauhtémoc
52,CEN,Centro,15,Cuauhtémoc
53,CON,Condesa,15,Cuauhtémoc
54,CON,Condesa,15,Cuauhtémoc
55,1,Ampliación Granada,15,Cuauhtémoc
56,R-N,Roma Norte,15,Cuauhtémoc
57,1,Ampliación Granada,15,Cuauhtémoc
58,CON,Condesa,15,Cuauhtémoc
59,HIP,Hipódromo,15,Cuauhtémoc
60,CON,Condesa,15,Cuauhtémoc
61,HIP,Hipódromo,15,Cuauhtémoc
62,CON,Condesa,15,Cuauhtémoc
63,1,Ampliación Granada,15,Cuauhtémoc
64,HIP,Hipódromo,15,Cuauhtémoc
