source,target,weight
,,494
Acacias,,0
Actipan,,2
Ampliacion Granada,,800
Ampliacion Napoles,,5
Anzures,,12
Bosque de Chapultepec,,12
Buenavista,,81
Centro,,1488
Ciudad de los Deportes,,1
Condesa,,33
Cuauhtemoc,,315
Del Valle Centro,,5
Del Valle Norte,,24
Del Valle Sur,,2
Doctores,,227
Escandon,,6
Extremadura Insurgentes,,1
General Pedro Maria Anaya,,2
Granada,,1
Hipodromo,,54
Hipodromo Condesa,,11
Insurgentes Mixcoac,,3
Insurgentes San Borja,,2
Juarez,,1097
Letran Valle,,12
Napoles,,8
Narvarte Poniente,,83
Noche Buena,,1
Polanco,,179
Portales Norte,,1
Residencial Emperadores,,6
Roma Norte,,667
Roma Sur,,33
San Miguel Chapultepec,,46
San Pedro de los Pinos,,3
San Rafael,,93
Santa Cruz Atoyac,,6
Santa Maria Nonoalco,,1
Tabacalera,,110
Tlacoquemecatl,,1
Xoco,,0
,Acacias,0
Acacias,Acacias,2818
Actipan,Acacias,1476
Ampliacion Granada,Acacias,4042
Ampliacion Napoles,Acacias,62
Anzures,Acacias,26
Bosque de Chapultepec,Acacias,33
Buenavista,Acacias,22
Centro,Acacias,88
Ciudad de los Deportes,Acacias,144
Condesa,Acacias,113
Cuauhtemoc,Acacias,189
Del Valle Centro,Acacias,972
Del Valle Norte,Acacias,946
Del Valle Sur,Acacias,7553
Doctores,Acacias,11
Escandon,Acacias,336
Extremadura Insurgentes,Acacias,203
General Pedro Maria Anaya,Acacias,688
Granada,Acacias,1
Hipodromo,Acacias,439
Hipodromo Condesa,Acacias,57
Insurgentes Mixcoac,Acacias,1295
Insurgentes San Borja,Acacias,460
Juarez,Acacias,213
Letran Valle,Acacias,145
Napoles,Acacias,262
Narvarte Poniente,Acacias,642
Noche Buena,Acacias,60
Polanco,Acacias,41
Portales Norte,Acacias,100
Residencial Emperadores,Acacias,37
Roma Norte,Acacias,363
Roma Sur,Acacias,207
San Miguel Chapultepec,Acacias,86
San Pedro de los Pinos,Acacias,142
San Rafael,Acacias,5
Santa Cruz Atoyac,Acacias,478
Santa Maria Nonoalco,Acacias,112
Tabacalera,Acacias,6
Tlacoquemecatl,Acacias,1706
Xoco,Acacias,186
,Actipan,0
Acacias,Actipan,1199
Actipan,Actipan,1246
Ampliacion Granada,Actipan,2475
Ampliacion Napoles,Actipan,144
Anzures,Actipan,20
Bosque de Chapultepec,Actipan,5
Buenavista,Actipan,79
Centro,Actipan,22
Ciudad de los Deportes,Actipan,90
Condesa,Actipan,52
Cuauhtemoc,Actipan,77
Del Valle Centro,Actipan,1287
Del Valle Norte,Actipan,816
Del Valle Sur,Actipan,6555
Doctores,Actipan,5
Escandon,Actipan,132
Extremadura Insurgentes,Actipan,159
General Pedro Maria Anaya,Actipan,503
Granada,Actipan,2
Hipodromo,Actipan,272
Hipodromo Condesa,Actipan,18
Insurgentes Mixcoac,Actipan,1284
Insurgentes San Borja,Actipan,159
Juarez,Actipan,360
Letran Valle,Actipan,210
Napoles,Actipan,249
Narvarte Poniente,Actipan,492
Noche Buena,Actipan,117
Polanco,Actipan,36
Portales Norte,Actipan,96
Residencial Emperadores,Actipan,113
